[CS61C Project 4] start classifier training
iteration: 0, loss: 5.724183, time: 0.206263 sec
iteration: 173, loss: 4.412589, time: 0.220623 sec
iteration: 174, loss: 4.405873, time: 0.220965 sec
iteration: 175, loss: 4.399171, time: 0.221114 sec
iteration: 176, loss: 4.392483, time: 0.220761 sec
iteration: 177, loss: 4.385808, time: 0.221076 sec
iteration: 178, loss: 4.379147, time: 0.219983 sec
iteration: 179, loss: 4.372500, time: 0.221186 sec
iteration: 180, loss: 4.365866, time: 0.221100 sec
iteration: 181, loss: 4.359246, time: 0.220691 sec
iteration: 182, loss: 4.352640, time: 0.220329 sec
iteration: 183, loss: 4.346048, time: 0.221043 sec
iteration: 184, loss: 4.339469, time: 0.220704 sec
iteration: 185, loss: 4.332903, time: 0.221155 sec
iteration: 186, loss: 4.326351, time: 0.220733 sec
iteration: 187, loss: 4.319812, time: 0.220244 sec
iteration: 188, loss: 4.313287, time: 0.220800 sec
iteration: 189, loss: 4.306776, time: 0.220837 sec
iteration: 190, loss: 4.300277, time: 0.220695 sec
iteration: 191, loss: 4.293793, time: 0.220398 sec
iteration: 192, loss: 4.287321, time: 0.220432 sec
iteration: 193, loss: 4.280863, time: 0.220974 sec
iteration: 194, loss: 4.274418, time: 0.221001 sec
iteration: 195, loss: 4.267986, time: 0.221023 sec
iteration: 196, loss: 4.261567, time: 0.220624 sec
iteration: 197, loss: 4.255162, time: 0.220954 sec
iteration: 198, loss: 4.248770, time: 0.220825 sec
iteration: 199, loss: 4.242391, time: 0.221565 sec
[CS61C Project 4] done training
[CS61C Project 4] validate the classifier
[CS61C Project 4] accuracy: 0.37
[CS61C Project 4] time elapsed: 0.72 min
[CS61C Project 4] training performane: 9298.77 imgs / sec
